"","day","d_n","station","wetland"
"1",2017-09-30,0.403030789011549,"SC-E","BB"
"2",2017-10-01,0.411552229541995,"SC-E","BB"
"3",2017-10-02,0.424166493475685,"SC-E","BB"
"4",2017-10-03,0.442073384519752,"SC-E","BB"
"5",2017-10-04,0.451916116731517,"SC-E","BB"
"6",2017-10-05,0.462497852019799,"SC-E","BB"
"7",2017-10-06,0.484017284989672,"SC-E","BB"
"8",2017-10-07,0.506118367994869,"SC-E","BB"
"9",2017-10-08,0.523323594552971,"SC-E","BB"
"10",2017-10-09,0.523299879269597,"SC-E","BB"
"11",2017-10-10,0.50675795498054,"SC-E","BB"
"12",2017-10-11,0.526001544735639,"SC-E","BB"
"13",2017-10-12,0.505705618428083,"SC-E","BB"
"14",2017-10-13,0.478504221084971,"SC-E","BB"
"15",2017-10-14,0.487359646070818,"SC-E","BB"
"16",2017-10-15,0.492244078952863,"SC-E","BB"
"17",2017-10-16,0.501097248874145,"SC-E","BB"
"18",2017-10-17,0.52538175755393,"SC-E","BB"
"19",2017-10-18,0.541736279824701,"SC-E","BB"
"20",2017-10-19,0.556418130532903,"SC-E","BB"
"21",2017-10-20,0.570488253150761,"SC-E","BB"
"22",2017-10-21,0.58791824099312,"SC-E","BB"
"23",2017-10-22,0.604538288206224,"SC-E","BB"
"24",2017-10-23,0.614562483178382,"SC-E","BB"
"25",2017-10-24,0.61243235098229,"SC-E","BB"
"26",2017-10-25,0.621616370521148,"SC-E","BB"
"27",2017-10-26,0.63876617878736,"SC-E","BB"
"28",2017-10-27,0.659404450451787,"SC-E","BB"
"29",2017-10-28,0.669727496921554,"SC-E","BB"
"30",2017-10-29,0.634766064729533,"SC-E","BB"
"31",2017-10-30,0.35251928830023,"SC-E","BB"
"32",2017-10-31,0.323551818291005,"SC-E","BB"
"33",2017-11-01,0.343285812069425,"SC-E","BB"
"34",2017-11-02,0.352068056552487,"SC-E","BB"
"35",2017-11-03,0.357647940080565,"SC-E","BB"
"36",2017-11-04,0.3702224818386,"SC-E","BB"
"37",2017-11-05,0.341424737445145,"SC-E","BB"
"38",2017-11-06,0.316251910077816,"SC-E","BB"
"39",2017-11-07,0.324790275977728,"SC-E","BB"
"40",2017-11-08,0.183332649590848,"SC-E","BB"
"41",2017-11-09,0.179520158376427,"SC-E","BB"
"42",2017-11-10,0.190085936291408,"SC-E","BB"
"43",2017-11-11,0.203392269191117,"SC-E","BB"
"44",2017-11-12,0.204397101112547,"SC-E","BB"
"45",2017-11-13,0.192418650613382,"SC-E","BB"
"46",2017-11-14,0.177437718627861,"SC-E","BB"
"47",2017-11-15,0.181334541816592,"SC-E","BB"
"48",2017-11-16,0.180794913184912,"SC-E","BB"
"49",2017-11-17,0.193472185613048,"SC-E","BB"
"50",2017-11-18,0.193673284129664,"SC-E","BB"
"51",2017-11-19,0.185141482895197,"SC-E","BB"
"52",2017-11-20,0.187278698317622,"SC-E","BB"
"53",2017-11-21,0.19004332178334,"SC-E","BB"
"54",2017-11-22,0.188988857981789,"SC-E","BB"
"55",2017-11-23,0.192568622691938,"SC-E","BB"
"56",2017-11-24,0.193575492765471,"SC-E","BB"
"57",2017-11-25,0.19225861004495,"SC-E","BB"
